,YearSold,MonthSold,Price
0,2016,1,617500.0
1,2016,2,1000000.0
2,2016,3,900000.0
3,2016,4,857500.0
4,2016,5,882500.0
5,2016,6,850000.0
6,2016,7,841000.0
7,2016,8,880500.0
8,2016,9,936000.0
9,2016,10,951500.0
10,2016,11,935000.0
11,2016,12,963500.0
12,2017,1,925000.0
13,2017,2,985000.0
14,2017,3,959000.0
15,2017,4,912000.0
16,2017,5,979990.0
17,2017,6,930000.0
18,2017,7,762000.0
19,2017,8,951000.0
20,2017,9,905000.0
21,2017,10,970000.0
22,2017,11,970000.0
23,2017,12,950000.0
24,2018,1,862250.0
25,2018,2,923500.0
26,2018,3,1010000.0
27,2018,4,1160000.0
28,2018,5,1080000.0
29,2018,6,907500.0
30,2018,7,789750.0
31,2018,8,915000.0
32,2018,9,1325000.0
33,2018,10,1203000.0
34,2018,11,850000.0
35,2018,12,983000.0
36,2019,1,660000.0
37,2019,2,945000.0
38,2019,3,975000.0
39,2019,4,982500.0
40,2019,5,890000.0
41,2019,6,940000.0
42,2019,7,1060000.0
43,2019,8,1011000.0
44,2019,9,1387500.0
45,2019,10,1300000.0
46,2019,11,1160000.0
47,2019,12,1059800.0
48,2020,1,785000.0
49,2020,2,1224500.0
50,2020,3,1375000.0
51,2020,4,1210000.0
52,2020,5,1330000.0
53,2020,6,1325000.0
54,2020,7,1260000.0
55,2020,8,1330000.0
56,2020,9,1511000.0
57,2020,10,1350000.0
58,2020,11,1326000.0
59,2020,12,1420000.0
60,2021,1,1265000.0
61,2021,2,1840000.0
62,2021,3,1825000.0
63,2021,4,1732000.0
64,2021,5,1605000.0
65,2021,6,1752500.0
66,2021,7,1800000.0
67,2021,8,1780500.0
68,2021,9,1780000.0
69,2021,10,1690000.0
70,2021,11,1620000.0
71,2021,12,1501000.0
